ts,match_id,room_id,turn_index,actor_id,enemy_id,chosen_action_kind,chosen_skill_id,chosen_action_group,dmg_to_enemy,heal_to_self,effect_applied,enemy_hp_after,actor_hp_after,battle_finished,winner_id,actor.type,actor.level,actor.hp,actor.hp_pct,actor.power,actor.attack,actor.defense,actor.dmg_min,actor.dmg_max,actor.atk_boost_min,actor.atk_boost_max,actor.pct_damage,actor.pct_crit,actor.pct_evade,actor.pct_resist,actor.pct_escape,actor.pct_negate,enemy.type,enemy.level,enemy.hp,enemy.hp_pct,enemy.power,enemy.attack,enemy.defense,enemy.dmg_min,enemy.dmg_max,enemy.atk_boost_min,enemy.atk_boost_max,enemy.pct_damage,enemy.pct_crit,enemy.pct_evade,enemy.pct_resist,enemy.pct_escape,enemy.pct_negate,mask.num_specials_valid_off,mask.num_specials_valid_def,mask.num_support_valid,mask.num_masters_valid_off,mask.num_masters_valid_def,mask.num_masters_support
2025-09-03T20:41:14.987Z,yyy-1756932040216,yyy,11,playerA,IA,BASIC_ATTACK,,offense,6,0,DAMAGE,114,108,false,,MACHETE_ROGUE,5,108,3,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,120,3.3333,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:17.023Z,yyy-1756932040216,yyy,12,playerA,IA,SPECIAL_SKILL,CORTADA,offense,10,0,DAMAGE,104,102,false,,MACHETE_ROGUE,5,102,2.8333,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,114,3.1667,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:19.058Z,yyy-1756932040216,yyy,13,playerA,IA,BASIC_ATTACK,,offense,1,0,DAMAGE,103,97,false,,MACHETE_ROGUE,5,97,2.6944,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,104,2.8889,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:21.106Z,yyy-1756932040216,yyy,14,playerA,IA,SPECIAL_SKILL,CORTADA,offense,7,0,DAMAGE,96,95,false,,MACHETE_ROGUE,5,95,2.6389,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,103,2.8611,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:23.136Z,yyy-1756932040216,yyy,15,playerA,IA,BASIC_ATTACK,,offense,5,0,DAMAGE,91,89,false,,MACHETE_ROGUE,5,89,2.4722,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,96,2.6667,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:25.171Z,yyy-1756932040216,yyy,16,playerA,IA,SPECIAL_SKILL,CORTADA,offense,9,0,DAMAGE,82,85,false,,MACHETE_ROGUE,5,85,2.3611,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,91,2.5278,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:27.220Z,yyy-1756932040216,yyy,17,playerA,IA,BASIC_ATTACK,,offense,8,0,DAMAGE,74,82,false,,MACHETE_ROGUE,5,82,2.2778,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,82,2.2778,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:29.253Z,yyy-1756932040216,yyy,18,playerA,IA,SPECIAL_SKILL,CORTADA,offense,3,0,DAMAGE,71,77,false,,MACHETE_ROGUE,5,77,2.1389,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,74,2.0556,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:31.287Z,yyy-1756932040216,yyy,19,playerA,IA,BASIC_ATTACK,,offense,3,0,DAMAGE,68,67,false,,MACHETE_ROGUE,5,67,1.8611,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,71,1.9722,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:33.320Z,yyy-1756932040216,yyy,20,playerA,IA,SPECIAL_SKILL,CORTADA,offense,7,0,DAMAGE,61,60,false,,MACHETE_ROGUE,5,60,1.6667,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,68,1.8889,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:35.353Z,yyy-1756932040216,yyy,21,playerA,IA,BASIC_ATTACK,,offense,7,0,DAMAGE,54,55,false,,MACHETE_ROGUE,5,55,1.5278,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,61,1.6944,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:37.386Z,yyy-1756932040216,yyy,22,playerA,IA,SPECIAL_SKILL,CORTADA,offense,10,0,DAMAGE,44,51,false,,MACHETE_ROGUE,5,51,1.4167,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,54,1.5,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:39.425Z,yyy-1756932040216,yyy,23,playerA,IA,BASIC_ATTACK,,offense,4,0,DAMAGE,40,41,false,,MACHETE_ROGUE,5,41,1.1389,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,44,1.2222,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:41.459Z,yyy-1756932040216,yyy,24,playerA,IA,SPECIAL_SKILL,CORTADA,offense,6,0,DAMAGE,34,38,false,,MACHETE_ROGUE,5,38,1.0556,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,40,1.1111,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:43.492Z,yyy-1756932040216,yyy,25,playerA,IA,BASIC_ATTACK,,offense,8,0,DAMAGE,26,35,false,,MACHETE_ROGUE,5,35,0.9722,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,34,0.9444,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:45.527Z,yyy-1756932040216,yyy,26,playerA,IA,SPECIAL_SKILL,CORTADA,offense,8,0,DAMAGE,18,33,false,,MACHETE_ROGUE,5,33,0.9167,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,26,0.7222,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:47.576Z,yyy-1756932040216,yyy,27,playerA,IA,BASIC_ATTACK,,offense,3,0,DAMAGE,15,28,false,,MACHETE_ROGUE,5,28,0.7778,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,18,0.5,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:49.608Z,yyy-1756932040216,yyy,28,playerA,IA,SPECIAL_SKILL,CORTADA,offense,8,0,DAMAGE,7,20,false,,MACHETE_ROGUE,5,20,0.5556,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,15,0.4167,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:51.641Z,yyy-1756932040216,yyy,29,playerA,IA,BASIC_ATTACK,,offense,7,0,DAMAGE,0,10,true,A,MACHETE_ROGUE,5,10,0.2778,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,7,0.1944,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
